Grapheme	IPA	Frequency
^a	a	8
-	+	85
v	β	42
a	a	178
r	r	39
-$	NULL	18
^ⁿd	ⁿd	2
e	e	21
l	l	54
m	m	38
i	i	44
r$	r	8
^t	t	5
u	u	59
i$	i	15
^h	h	57
k	k	9
^-	NULL	58
ŋ	ŋ	20
a$	a	18
^ᵑg	ⁿg	3
ə	ə	11
l$	l	13
ᵐb	ⁿb	17
o	o	38
ⁿdʳ	ⁿdʳ	5
u$	u	13
ɛ	e	50
β	β	6
e$	e	24
n	n	30
p˺$	p	5
w	w	7
s$	s	15
t	t	25
g	g	25
^k	k	5
f	β	2
βʷ	βʷ	1
s	s	21
aːᵐb	aː ⁿb	1
^n	n	4
ʊ	u	10
^ᵐb	ⁿb	3
m$	m	3
k$	k	8
^ɛ	e	2
ɪ$	i	2
ð	ð	7
rs	r s	1
z	z	8
ᵑg	ⁿg	6
ɪ	i	9
ə$	ə	8
n$	n	9
ⁿd	ⁿd	11
mʷ	mʷ	5
ɛ$	e	4
ᵐbʷ	ⁿbʷ	2
ɔ$	o	8
æ	a	1
t$	t	3
ɺ	NULL	1
_	+	7
^m	m	5
^s	s	9
h	h	1
ⁿt	n t	1
_ᵐb	+ ⁿb	2
eᵐb	e ⁿb	2
kʰ$	k	3
aᵐb	a ⁿb	4
p	p	1
ʉ	u	2
ŋ$	ŋ	2
d$	d	1
^e	e	1
aː	a	4
ɔ	o	2
^i	i	14
ɳ	ŋ	1
d	d	1
b$	ⁿb	2
t˺$	t	2
^l	l	9
ɾ	r	1
p$	p	2
v$	β	1
rw	r w	1
ɣ	ɣ	1
^d	ⁿd	1
ⁿm	n m	1
^v	β	1
^ŋ	ŋ	1
əə$	əə/əː	1
œ	œ	1
aˑ	a	1
ts	ts	1
^r	r	1
tⁿ$	t	1
^ɳ	ŋ	1
b	ᵐb	1
ɬ$	l	1
