Grapheme	IPA	Frequency
^r	r	47
i	i	55
m	m	38
a$	a	97
^'e	ʔ e	7
^m	m	42
a	a	148
o	o	77
r	r	89
i$	i	56
^v	v	8
e$	e	43
^a	a	30
'a	ʔ a	8
p	p	12
'u$	ʔ u	9
^t	t	51
ī	ī/i	1
^k	k	56
u$	u	65
^p	p	25
n	n	69
e	e	45
u	u	46
è	è/e	1
^e	e	4
v	v	7
ō	ō/o	4
ū$	ū	2
^i	i	11
t	t	55
k	k	60
'i	ʔ i	5
o$	o	46
^u	u	7
^o	o	7
'o$	ʔ o	7
^'a	ʔ a	14
^'o	ʔ o	4
g	g	25
^'a'a$	ʔ a ʔ a	1
^h	h	3
h	h	6
^n	n	13
aa$	aː	1
uu$	uː	1
ā	ā/a 	7
^-	NULL	1
ì	ì/i	2
ii$	iː	1
^'u	ʔ u	4
'i$	ʔ i	4
^'u'u	ʔ u ʔ u	1
^à	ʔ à/a	1
oo$	oː	1
ī$	ī/i	1
_	+	3
^ì	ʔ ì/i	1
ū	ū	1
w	w	2
'e$	ʔ e	2
l	l	1
aa	aː	1
'a$	ʔ a	3
^ā	ā/a	1
ʔ	ʔ	1
ō$	ō/o	1
'e	ʔ e	2
^i$	i	1
^e$	e	1
^'a$	ʔ a	1
^'i	ʔ i	2
'u	ʔ u	2
